,Hospital name,City,County,Acute Care Beds,YearFounded,Affiliation,Notes,Place ID,Latitude_x,Longtitude,Street Address,State,Zip Code,Full Address,ZIP,Latitude_y,Longitude,Median Income,Population,Joined
18,Colquitt Regional Medical Center,Moultrie,Colquitt County,84,,â,,ChIJIWDi3Bfo7YgR_tg8O9agiQU,31.125797600000002,-83.7803079,3131 South Main Street,Georgia,31768.0,"3131 S Main St, Moultrie, GA 31768, USA",31772.0,31.169027,-83.7820495,21032.0,22858.0,False
19,Crisp Regional Hospital,Cordele,Crisp County,216,,â,,ChIJqRaPg9868ogREPx8lk5K7Wc,31.9775429,-83.7813123,902 7th Street North,Georgia,31015.0,"902 7th St N, Cordele, GA 31015, USA",31012.5,31.9340385,-83.7817225,17401.0,21549.0,False
20,Doctors Hospital of Augusta,Augusta,Richmond County,350,,HCA,,ChIJUQsUUbHT-YgRnAog9l02vWY,33.4862825,-82.09453559999999,3651 Wheeler Road,Georgia,30909.0,"3651 Wheeler Rd, Augusta, GA 30909, USA",30915.375,33.42063449999999,-82.08491662499998,-51259555.92307692,32850.769230769234,False
21,Dodge County Hospital,Eastman,Dodge County,94,,â,,ChIJdz0oTxAK8YgRn2b4G99tKZ8,32.185393100000006,-83.17796330000002,901 Griffin Avenue,Georgia,31023.0,"901 Griffin Ave, Eastman, GA 31023, USA",31023.0,32.193953,-83.1848,21081.0,14276.0,False
23,Dorminy Medical Center,Fitzgerald,Ben Hill County,75,1974,â,previously Phoebe Dorminy Medical Center,ChIJ2Rmp39zp8YgR3Iam7NxuUcE,31.697478999999998,-83.2599627,200 Perry House Road,Georgia,31750.0,"200 Perry House Rd, Fitzgerald, GA 31750, USA",31750.0,31.720028999999997,-83.25093000000003,20822.0,18322.0,False
24,East Georgia Regional Medical Center,Statesboro,Bulloch County,150,,â,,ChIJg8R4YCVH-ogRKm5rXPqqwx0,32.4144578,-81.7704395,1499 Fair Road,Georgia,30458.0,"1499 Fair Rd, Statesboro, GA 30458, USA",30459.5,32.444667249999995,-81.77462,16630.25,25909.75,False
25,Effingham Hospital,Springfield,Effingham County,0,1969,â,,ChIJs0bfpe-8-4gRA3iAKUxVT_M,32.3643089,-81.32048189999998,459 Georgia 119,Georgia,31329.0,"459 GA-119, Springfield, GA 31329, USA",31329.0,32.390879,-81.32427,27305.0,9950.0,False
26,Elbert Memorial Hospital,Elberton,Elbert County,52,,â,,ChIJyRlS42_N94gR6CMAx3duHO0,34.113265399999996,-82.8746791,4 Medical Drive,Georgia,30635.0,"4 Medical Dr, Elberton, GA 30635, USA",30635.0,34.119972,-82.825,21478.0,14964.0,False
27,Emanuel Medical Center,Swainsboro,Emanuel County,94,,â,,ChIJiwDEKIqk8IgRJtwtnSxMTxM,32.592759,-82.3471716,117 Kight Road,Georgia,30401.0,"117 Kight Rd, Swainsboro, GA 30401, USA",30401.0,32.605196,-82.3391,20101.0,13598.0,False
28,Emory Decatur Hospital,Decatur,DeKalb County,628,1961,Emory,,ChIJudei5nAH9YgRT0IzRi5kGiI,33.7908318,-84.2828507,2701 North Decatur Road,Georgia,30033.0,"2701 N Decatur Rd, Decatur, GA 30033, USA",30033.5,33.802006750000004,-84.19094749999998,33401.375,37842.875,False
29,Emory Hillandale Hospital,Lithonia,DeKalb County,100,2005,Emory,,ChIJ99FXMlSs9YgR8f6ru3JZyEU,33.7057547,-84.1479978,2801 Dekalb Medical Parkway,Georgia,30058.0,"2801 Dekalb Medical Pkwy, Lithonia, GA 30058, USA",30048.0,33.7133075,-84.12510499999999,28433.0,48381.0,False
31,Emory University Hospital,Atlanta,DeKalb County,569,,Emory,,ChIJyYqdV_oG9YgRPvDOKl57PEo,33.791418799999995,-84.32040390000002,1364 Clifton Road,Georgia,30322.0,"1364 Clifton Rd, Atlanta, GA 30322, USA",30576.765765765766,33.82845866666669,-84.40236618918918,-21943664.153846152,25919.934065934067,False
32,Emory University Orthopaedics & Spine Hospital,Tucker,DeKalb County,0,,Emory,,ChIJKWjtUqkQ9YgR4N3RrVCKe8E,33.826251899999995,-84.2483606,1455 Montreal Road East,Georgia,30084.0,"1455 Montreal Rd E, Tucker, GA 30084, USA",30084.5,33.872552,-84.14746,33845.0,38484.0,False
33,Evans Memorial Hospital,Claxton,Evans County,209,,â,,ChIJDwv9jOdg-ogR8PUP4RBslJ0,32.16619130000001,-81.8987728,200 North River Street,Georgia,30417.0,"200 N River St, Claxton, GA 30417, USA",30417.0,32.162077000000004,-81.90984,23948.0,10777.0,False
34,Fairview Park Hospital,Dublin,Laurens County,190,,HCA,,ChIJ00hnV80h8YgR-CDnNpspPns,32.532739,-82.9507304,200 Industrial Boulevard,Georgia,31021.0,"200 Industrial Blvd, Dublin, GA 31021, USA",31029.333333333332,32.54518466666667,-82.88610466666667,21535.0,21916.0,False
35,Flint River Hospital,Montezuma,Macon County,49,,â,,ChIJUWYbh-Wz84gR79-FKWYcn-Q,32.29406969999999,-84.02999390000001,509 Sumter Street,Georgia,31063.0,"509 Sumter St, Montezuma, GA 31063, USA",31063.0,32.293293,-83.98913,18672.0,4928.0,False
36,Floyd Medical Center,Rome,Floyd County,278,,Floyd,,ChIJi7Rq8JekiogRQinBUmO28MM,34.2592219,-85.17846390000001,304 Turner McCall Boulevard,Georgia,30165.0,"304 Turner McCall Blvd, Rome, GA 30165, USA",30163.0,34.298378,-85.2145258,-166648942.0,27633.25,False
37,Floyd Polk Medical Center,Cedartown,Polk County,18,,Floyd,,ChIJufAiezXAiogRCpDiPvFPt2g,34.0139172,-85.19656429999998,2360 Rockmart Highway,Georgia,30125.0,"2360 Rockmart Hwy, Cedartown, GA 30125, USA",30125.0,34.010162,-85.25761999999997,23343.0,23814.0,False
38,Hamilton Medical Center,Dalton,Whitfield County,282,1921,â,,ChIJi34aVuJ0YIgRwf8bLkcvC2A,34.789979100000004,-84.9848301,1200 Memorial Drive,Georgia,30720.0,"1200 Memorial Dr, Dalton, GA 30720, USA",30720.5,34.77704425,-84.96687425,25269.5,40921.5,False
39,Higgins General Hospital,Bremen,Haralson County,25,,Tanner,,ChIJYWQnyWPYiogRnm7ZzbYKhsI,33.7168925,-85.14494429999998,200 Allen Memorial Drive,Georgia,30110.0,"200 Allen Memorial Dr, Bremen, GA 30110, USA",30110.0,33.723939,-85.14282,26211.0,13190.0,False
40,Houston Healthcare - Houston Medical Center,Warner Robins,Houston County,237,,Houston Healthcare,,ChIJWUuYi6bh84gRoP6_yC4giIg,32.6163277,-83.63124140000001,1601 Watson Boulevard,Georgia,31093.0,"1601 Watson Blvd, Warner Robins, GA 31093, USA",31094.6,32.596279,-83.642259,28877.4,28984.4,False
41,Houston Healthcare - Perry Hospital,Warner Robins,Houston County,45,,Houston Healthcare,,ChIJWUuYi6bh84gRoP6_yC4giIg,32.6163277,-83.63124140000001,1601 Watson Boulevard,Georgia,31093.0,"1601 Watson Blvd, Warner Robins, GA 31093, USA",31094.6,32.596279,-83.642259,28877.4,28984.4,False
42,Irwin County Hospital,Ocilla,Irwin County,34,,â,,ChIJKxuQ74nn8YgRaGMYifM8ly4,31.6033848,-83.2513457,710 North Irwin Avenue,Georgia,31774.0,"710 N Irwin Ave, Ocilla, GA 31774, USA",31774.0,31.586426,-83.27583,17566.0,6737.0,False
43,Jasper Memorial Hospital,Monticello,Jasper County,17,,,,ChIJsVV_tC8i9IgRAlKZNzp-g70,33.3144199,-83.68651009999999,898 College Street,Georgia,31064.0,"898 College St, Monticello, GA 31064, USA",31064.0,33.319093,-83.70862,22079.0,9071.0,False
44,Jeff Davis Hospital,Hazlehurst,Jeff Davis County,25,,â,,ChIJ6S2zZ4FB8IgRqyjs6aCntzU,31.85704,-82.6074229,163 South Tallahassee Street,Georgia,31539.0,"163 S Tallahassee St, Hazlehurst, GA 31539, USA",31539.0,31.844772,-82.59809,21532.0,14645.0,False
45,Jenkins County Medical Center,Millen,Jenkins County,25,,â,Formerly Optim Medical Center - Jenkins,ChIJRR6j-BYe-ogRpdBfmMJlWYw,32.8042804,-81.93440090000001,931 East Winthrope Avenue,Georgia,30442.0,"931 E Winthrope Ave, Millen, GA 30442, USA",30442.0,32.802448,-81.98380999999998,17210.0,7617.0,False
46,Liberty Regional Medical Center,Hinesville,Liberty County,25[citation needed],1961,â,,ChIJPVTG4Xfk-ogRgYqvtayCISw,31.8394772,-81.60097549999998,462 Elma G Miles Parkway,Georgia,31313.0,"462 Elma G Miles Pkwy, Hinesville, GA 31313, USA",31311.5,31.8177035,-81.526622,28303.0,40916.0,False
48,Meadows Regional Medical Center,Vidalia,Toombs County,122,,â,,ChIJB-zIEqaI8IgRwu2K8HbMKAk,32.2091036,-82.3757392,1 Meadows Parkway,Georgia,30474.0,"1 Meadows Pkwy, Vidalia, GA 30474, USA",30474.5,32.198834,-82.3944095,-333322390.0,8332.5,False
49,"The Medical Center, Navicent Health",Macon,Bibb County,639,1895,Atrium/Navicent,,ChIJccj0KX7-84gRK3nqvH5rtFI,32.833819500000004,-83.63654439999998,777 Hemlock Street,Georgia,31201.0,"777 Hemlock St, Macon, GA 31201, USA",31232.347826086956,32.81715886956521,-83.67255700000001,-33312586.75,19256.5,False
50,Medical Center of Peach County,Byron,Peach County,0,1953/2013,Atrium/Navicent,,ChIJhQByrNnB84gRVJmygAxHzmk,32.604915399999996,-83.75933559999999,1960 Georgia 247 Connector,Georgia,31008.0,"1960 GA-247CONN, Byron, GA 31008, USA",31008.0,32.652313,-83.75918,31807.0,18381.0,False
52,Memorial Satilla Health,Waycross,Ware County,345,,HCA,"formerly Mayo Clinic Health System in Waycross, previously Satilla Regional Medical Center",ChIJHUznLYf674gR0sU7ZBx9V1M,31.225119199999998,-82.3480412,1900 Tebeau Street,Georgia,31501.0,"1900 Tebeau St, Waycross, GA 31501, USA",31502.0,31.148069000000003,-82.381071,23209.666666666668,16850.0,False
54,Monroe County Hospital,Forsyth,Monroe County,25,,Navicent Partner,,ChIJfc9fBFtz9IgRZ9FQSuA2dW0,33.0314778,-83.9453995,88 Martin Luther King Junior Drive,Georgia,31029.0,"88 Martin Luther King Jr Dr, Forsyth, GA 31029, USA",31029.0,33.0409,-83.92941,25070.0,16459.0,False
55,Morgan Medical Center,Madison,Morgan County,46,,â,Formerly Morgan Memorial Hospital,ChIJ9w0kVeuH9ogRjgYxzKEaUSo,33.569366200000005,-83.47203069999998,1740 Lions Club Road,Georgia,30650.0,"1740 Lions Club Rd, Madison, GA 30650, USA",30650.0,33.588436,-83.47936,28750.0,12063.0,False
56,Navicent Health Baldwin,Milledgeville,Baldwin County,140,,Atrium/Navicent,formerly Oconee Regional Medical Center,ChIJWeo-JuHH9ogRA-irUFcLAec,33.0896828,-83.2453926,821 North Cobb Street,Georgia,31061.0,"821 N Cobb St, Milledgeville, GA 31061, USA",31061.5,33.0853585,-83.229445,18000.5,22130.5,False
57,Northeast Georgia Medical Center Gainesville,Gainesville,Hall County,557,1951,NGMC,,ChIJu425Mff29YgRlANVFgFPZzE,34.303933799999996,-83.8157729,743 Spring Street Northeast,Georgia,30501.0,"743 Spring St NE, Gainesville, GA 30501, USA",30504.333333333332,34.305405666666665,-83.8595845,25534.4,32153.6,False
58,Northeast Georgia Medical Center Barrow,Winder,Barrow County,80,1951,NGMC,Formerly Barrow Regional Medical Center,ChIJ9-jdmm_n9YgRbzx065u0s6Q,34.0081396,-83.70777259999998,316 North Broad Street,Georgia,30680.0,"316 N Broad St, Winder, GA 30680, USA",30680.0,33.992538,-83.71061,26214.0,42975.0,False
59,Northeast Georgia Medical Center Braselton,Braselton,Hall County,100,2015,NGMC,Formerly River Place Braselton,ChIJNbCdyZru9YgRsl32junsBN4,34.120048,-83.83809690000001,1400 River Place,Georgia,30517.0,"1400 River Pl, Braselton, GA 30517, USA",30517.0,34.121974,-83.78604,37419.0,14657.0,False
60,Northeast Georgia Medical Center Lumpkin,Dahlonega,Lumpkin County,49[citation needed],,NGMC,facility was previously Chestatee Regional Hospital,ChIJZ0ACOptnX4gRWbwEZPlRNV4,34.5229731,-83.97576109999999,227 Mountain Drive,Georgia,30533.0,"227 Mountain Dr, Dahlonega, GA 30533, USA",30565.0,34.534884500000004,-83.9890295,22180.0,26683.0,False
61,Northridge Medical Center,Commerce,Jackson County,239,,â,,ChIJ4y_Nul4E9ogRNp14C3hJthg,34.2192326,-83.46840959999999,70 Medical Center Drive,Georgia,30529.0,"70 Medical Center Dr, Commerce, GA 30529, USA",30552.666666666668,34.183641333333334,-83.47990966666667,25649.0,9733.333333333334,False
62,Northside Hospital Cherokee,Canton,Cherokee County,158,1962,Northside,,ChIJpzNA3K1l9YgR82VVbj9Td2g,34.22934740000001,-84.46654989999998,450 Northside Cherokee Boulevard,Georgia,30115.0,"450 Northside Cherokee Blvd, Canton, GA 30115, USA",30114.5,34.2112535,-84.47143,34793.0,47157.5,False
63,Northside Hospital Duluth,Duluth,Gwinnett County,0,1944,Northside,Formerly Gwinnett Medical Center-Duluth,ChIJV25bIW2i9YgRw6nzzvOr02I,34.0001637,-84.163558,3620 Howell Ferry Road Northwest,Georgia,30096.0,"3620 Howell Ferry Rd NW, Duluth, GA 30096, USA",30077.14285714286,33.98126285714285,-84.0996522857143,37753.0,58935.857142857145,False
64,Northside Hospital Forsyth,Cumming,Forsyth County,304,,Northside,,ChIJndk3udma9YgRmd0FILa5_DM,34.1780271,-84.1407069,1200 Northside Forsyth Drive,Georgia,30041.0,"1200 Northside Forsyth Dr, Cumming, GA 30041, USA",30036.333333333332,34.209984,-84.121546,41386.0,54006.333333333336,False
65,Northside Hospital Gwinnett,Lawrenceville,Gwinnett County,576,1959,Northside,formerly Gwinnett Medical Center-Lawrenceville,ChIJCQA6O4C-9YgRwzbhPR7tHUI,33.9631697,-84.01749090000001,1000 Medical Center Boulevard,Georgia,30046.0,"1000 Medical Center Blvd, Lawrenceville, GA 30046, USA",30044.0,33.95193999999999,-84.043285,31013.8,68830.4,False
66,Optim Medical Center - Screven,Sylvania,Screven County,0,,Optim,,ChIJ43a37gEp-ogRYXG9Xfv-mGw,32.7498791,-81.64680709999998,215 Mims Road,Georgia,30467.0,"215 Mims Rd, Sylvania, GA 30467, USA",30467.0,32.754635,-81.63543,22345.0,12070.0,False
67,Optim Medical Center - Tattnall,Reidsville,Tattnall County,0,,Optim,previously Doctors Hospital of Tattnall,ChIJLZ964DuH-ogRgN4c2iIngI8,32.0805406,-82.10897849999998,247 South Main Street,Georgia,30453.0,"247 S Main St, Reidsville, GA 30453, USA",30476.0,32.054024999999996,-82.059874,14460.0,10775.0,False
68,Phoebe Putney Memorial Hospital,Albany,Dougherty County,420,1911,Phoebe,,ChIJz2fdPtl78ogRmBBAmMeQr5A,31.590934000000004,-84.15786700000001,417 3rd Avenue West,Georgia,31701.0,"417 3rd Ave W, Albany, GA 31701, USA",31705.7,31.5672663,-84.16817030000001,20778.222222222223,25104.777777777777,False
69,Phoebe Putney Memorial Hospital - North Campus,Albany,Dougherty County,248,1971,Phoebe,formerly Palmyra Medical Center,ChIJ3yDUnut78ogRuJEtM2bq9bA,31.6063022,-84.1689281,2000 Palmyra Road,Georgia,31701.0,"2000 Palmyra Rd, Albany, GA 31701, USA",31705.7,31.5672663,-84.16817030000001,20778.222222222223,25104.777777777777,False
70,Phoebe Sumter Medical Center,Americus,Sumter County,76,1952/2011,Phoebe,,ChIJL4GQ3elX8ogRUDrGxodiFyY,32.06690460000001,-84.25558840000001,126 U.S. 280,Georgia,31719.0,"126 US-280, Americus, GA 31719, USA",31712.666666666668,32.06945566666666,-84.21787733333333,21422.0,12402.0,False
71,Phoebe Worth Medical Center,Sylvester,Worth County,25,,Phoebe,,ChIJwWEL7IQJ8ogRTMAwzjXHREg,31.511806099999998,-83.8403001,807 South Isabella Street,Georgia,31791.0,"807 S Isabella St, Sylvester, GA 31791, USA",31791.0,31.536886,-83.86041,23805.0,12138.0,False
72,Piedmont Athens Regional,Athens,Clarke County,350,1919,Piedmont,Formerly Athens Regional Medical Center,ChIJx6REsTht9ogRarSpPB_uhR4,33.9613926,-83.39796729999998,1199 Prince Avenue,Georgia,30606.0,"1199 Prince Ave, Athens, GA 30606, USA",30606.666666666668,33.95374808333333,-83.38985975000001,14474.7,21862.5,False
73,Piedmont Columbus Regional - Midtown,Columbus,Muscogee County,583,1982,Piedmont,Formerly Midtown Medical Center,ChIJO73PkM_NjIgR9BqzLSabVsM,32.4802456,-84.9824948,710 Center Street,Georgia,31901.0,"710 Center St, Columbus, GA 31901, USA",31936.8,32.4919296,-84.91847300000002,21683.64285714286,34613.78571428572,False
74,Piedmont Columbus Regional - Northside,Columbus,Muscogee County,100,,Piedmont,facility was previously Jack Hughston Memorial Hospital [4],ChIJU_E0e1rLjIgRUNL3PnI_vc4,32.534584,-84.95118199999999,100 Frist Court,Georgia,31909.0,"100 Frist Ct, Columbus, GA 31909, USA",31936.8,32.4919296,-84.91847300000002,21683.64285714286,34613.78571428572,False
75,Piedmont Fayette Hospital,Fayetteville,Fayette County,300,,Piedmont,,ChIJZfvWaSfv9IgRO0Er_vksXXU,33.4527476,-84.5081318,1255 Highway 54 West,Georgia,30214.0,"1255 Hwy 54 W, Fayetteville, GA 30214, USA",30214.5,33.440110000000004,-84.469695,36318.5,33029.0,False
76,Piedmont Mountainside Hospital,Jasper,Pickens County,35,,Piedmont,,ChIJYY_e2pmIX4gRm7F9jNiSS2U,34.445617999999996,-84.4481517,1266 Georgia 515,Georgia,30143.0,"1266 GA-515, Jasper, GA 30143, USA",30143.0,34.454934,-84.41583,30317.0,21487.0,False
77,Piedmont Newnan Hospital,Newnan,Coweta County,143,,Piedmont,,ChIJcVBB8B3J9IgRp7oUvD0s4hY,33.35780160000001,-84.7551974,745 Poplar Road,Georgia,30265.0,"745 Poplar Rd, Newnan, GA 30265, USA",30265.75,33.37526725,-84.77692549999999,30791.25,52701.25,False
78,Piedmont Newton Hospital,Covington,Newton County,97,1954,Piedmont,"Joined Piedmont Healthcare October 1, 2015[5]; Formerly Newton Medical Center",ChIJH9lU1_Y09IgR9XQ2zbkDfas,33.6013604,-83.8478329,5126 Hospital Drive Northeast,Georgia,30014.0,"5126 Hospital Dr NE, Covington, GA 30014, USA",30015.0,33.55977166666667,-83.88321166666667,25200.333333333332,43710.666666666664,False
79,Piedmont Rockdale Hospital,Conyers,Rockdale County,138,,Piedmont,formerly Rockdale Medical Center,ChIJuSz3VZe09YgRDST4yZ0r8CQ,33.680682,-84.00149180000003,1412 Milstead Avenue Northeast,Georgia,30012.0,"1412 Milstead Ave NE, Conyers, GA 30012, USA",30039.666666666668,33.65076833333333,-84.01582333333334,29512.666666666668,29633.666666666668,False
80,Piedmont Walton Hospital,Monroe,Walton County,135,,Piedmont,formerly Clearview Regional Medical Center,ChIJaRUeC_fQ9YgR233yHfGn51k,33.79880929999999,-83.75027109999998,2151 West Spring Street,Georgia,30655.0,"2151 W Spring St, Monroe, GA 30655, USA",30655.5,33.821732,-83.709,27809.5,20669.5,False
81,Putnam General Hospital,Eatonton,Putnam County,25,,Navicent Partner,,ChIJs7uOmNuW9ogRM349HrEZnXI,33.3356127,-83.37114910000003,101 Lake Oconee Parkway,Georgia,31024.0,"101 Lake Oconee Pkwy, Eatonton, GA 31024, USA",31024.0,33.318579,-83.35432,26389.0,20438.0,False
82,Redmond Regional Medical Center,Rome,Floyd County,230,,HCA,,ChIJZxYbanmjiogRpqvQTEClF_A,34.276808200000005,-85.19488419999998,501 Redmond Road,Georgia,30165.0,"501 Redmond Rd, Rome, GA 30165, USA",30163.0,34.298378,-85.2145258,-166648942.0,27633.25,False
83,South Georgia Medical Center,Valdosta,Lowndes County,335,1955,SGMC,,ChIJ66lsp6ln7ogRevC7JIyEYdI,30.8616385,-83.2861741,2501 North Patterson Street,Georgia,31602.0,"2501 N Patterson St, Valdosta, GA 31602, USA",31625.0,30.855496444444448,-83.26009933333334,20937.0,20502.875,False
84,South Georgia Medical Center Berrien,Nashville,Berrien County,51,1965,SGMC,Formerly Berrien County Hospital,ChIJm5u1EpI97ogRJUmO7M4AcSU,31.203059999999997,-83.238716,1221 East Mcpherson Avenue,Georgia,31639.0,"1221 E Mcpherson Ave, Nashville, GA 31639, USA",31649.0,31.202194,-83.23244199999999,21910.0,10237.0,False
85,South Georgia Medical Center Lanier,Lakeland,Lanier County,25,1950,SGMC,Formerly Louis Smith Memorial Hospital,ChIJr4y6kdBH7ogRNZFs0czCyEc,31.04234200000001,-83.086298,116 West Thigpen Avenue,Georgia,31635.0,"116 W Thigpen Ave, Lakeland, GA 31635, USA",31635.0,31.055578000000004,-83.07103000000002,20662.0,6602.0,False
86,Southeast Georgia Health System Brunswick,Brunswick,Glynn County,316,1866/1955,SGHS,,ChIJ1-_OK5DX5IgRdflE39bCudw,31.175415,-81.48448590000001,2415 Parkwood Drive,Georgia,31520.0,"2415 Parkwood Dr, Brunswick, GA 31520, USA",31522.6,31.2207972,-81.523048,-133314971.2,18080.2,False
88,Southern Regional Medical Center,Riverdale,Clayton County,331,1971,â,,ChIJRTfSZYf79IgROf81g6_n6Ik,33.5793831,-84.3896726,11 Upper Riverdale Road,Georgia,30274.0,"11 Upper Riverdale Rd, Riverdale, GA 30274, USA",30285.0,33.559928,-84.42047500000001,24951.5,32009.0,False
89,Southwell Medical Center,Adel,Cook County,60,2019,Southwell,replaced Cook Medical Center,ChIJi04_F4EN7ogR9azyo4HRENU,31.1087864,-83.4267703,260 M J Taylor Road,Georgia,31620.0,"260 M J Taylor Rd, Adel, GA 31620, USA",31620.0,31.133004,-83.42736,25632.0,10836.0,False
90,Southwell Tift Regional Medical Center,Tifton,Tift County,181,1965,Southwell,,ChIJty7M0_P98YgRxER4yfdK-_0,31.471027799999998,-83.49113969999998,901 18th Street,Georgia,31794.0,"901 18th St, Tifton, GA 31794, USA",31793.5,31.472552,-83.5072255,25598.5,18474.0,False
